id,nuts2,nuts2_method
AT_1,AT31,inside
AT_10,AT12,inside
AT_100,AT22,inside
AT_101,AT22,inside
AT_102,AT31,inside
AT_103,AT21,inside
AT_104,AT22,inside
AT_105,AT32,inside
AT_106,AT12,inside
AT_107,AT21,inside
AT_108,AT22,inside
AT_109,AT22,inside
AT_11,AT31,inside
AT_110,AT22,inside
AT_111,AT22,inside
AT_112,AT12,inside
AT_113,AT12,inside
AT_114,AT12,inside
AT_115,AT22,inside
AT_116,AT31,inside
AT_117,AT22,inside
AT_118,AT12,inside
AT_119,AT31,inside
AT_12,AT22,inside
AT_120,AT32,inside
AT_121,AT22,inside
AT_122,AT13,inside
AT_123,AT34,inside
AT_124,AT12,inside
AT_125,AT22,inside
AT_126,AT22,inside
AT_127,AT12,inside
AT_128,AT12,inside
AT_129,AT12,inside
AT_13,AT22,inside
AT_130,AT12,inside
AT_131,AT12,inside
AT_132,AT12,inside
AT_133,AT12,inside
AT_134,AT12,inside
AT_135,AT12,inside
AT_136,AT12,inside
AT_137,AT12,inside
AT_138,AT12,inside
AT_139,AT22,inside
AT_14,AT31,inside
AT_140,AT22,inside
AT_141,AT31,inside
AT_142,AT12,inside
AT_143,AT12,inside
AT_144,AT22,inside
AT_145,AT34,inside
AT_146,AT31,inside
AT_147,AT31,inside
AT_148,AT31,inside
AT_149,AT31,inside
AT_15,AT31,inside
AT_150,AT13,inside
AT_151,AT13,inside
AT_152,AT31,inside
AT_153,AT11,inside
AT_154,AT33,inside
AT_155,AT22,inside
AT_156,AT33,inside
AT_157,AT32,inside
AT_158,AT22,inside
AT_159,AT31,inside
AT_16,AT31,inside
AT_160,AT21,inside
AT_161,AT31,inside
AT_162,AT12,inside
AT_163,AT12,inside
AT_164,AT12,inside
AT_165,AT22,inside
AT_166,AT12,inside
AT_167,AT34,inside
AT_168,AT31,inside
AT_169,AT12,inside
AT_17,AT31,inside
AT_170,AT22,inside
AT_171,AT31,inside
AT_172,AT22,inside
AT_173,AT33,inside
AT_174,AT22,inside
AT_175,AT22,inside
AT_176,AT22,inside
AT_177,AT32,inside
AT_178,AT34,inside
AT_18,AT13,inside
AT_180,AT12,inside
AT_181,AT22,inside
AT_182,AT22,inside
AT_183,AT22,inside
AT_184,HU22,inside
AT_185,AT12,inside
AT_186,AT31,inside
AT_187,AT34,inside
AT_188,AT33,inside
AT_189,AT12,inside
AT_19,AT13,inside
AT_190,AT33,inside
AT_191,AT11,inside
AT_192,AT21,inside
AT_193,AT21,inside
AT_194,AT32,inside
AT_195,AT22,inside
AT_196,AT12,inside
AT_197,AT31,inside
AT_198,AT31,inside
AT_199,AT22,inside
AT_2,AT22,inside
AT_20,AT13,inside
AT_200,AT22,inside
AT_201500,AT33,inside
AT_201648,AT12,inside
AT_201690,AT22,inside
AT_201691,AT22,inside
AT_201866,AT31,inside
AT_201868,AT31,inside
AT_201999,AT22,inside
AT_202,AT13,inside
AT_202677,AT33,inside
AT_202703,AT22,inside
AT_202778,AT22,inside
AT_203,AT32,inside
AT_204,AT12,inside
AT_205,AT12,inside
AT_205363,AT31,inside
AT_205426,AT12,inside
AT_205430,AT12,inside
AT_205431,AT13,inside
AT_205432,AT31,inside
AT_205433,AT12,inside
AT_205434,AT12,inside
AT_205435,AT21,inside
AT_205581,AT22,inside
AT_205582,AT22,inside
AT_205668,AT22,inside
AT_205701,AT22,inside
AT_205911,AT22,inside
AT_206,AT12,inside
AT_206124,AT32,inside
AT_206142,AT32,inside
AT_206144,AT12,inside
AT_206145,AT12,inside
AT_206146,AT31,inside
